Year,Amphibians,Birds,Fish,Mammals,Reptiles
200,0,0,0,1,1
400,0,0,0,2,0
500,0,0,0,1,1
1100,0,1,0,2,0
1130,0,0,0,1,0
1300,0,3,0,0,0
1400,0,2,0,1,0
1410,0,1,0,2,0
1420,0,1,0,0,0
1430,0,0,0,1,0
1500,0,5,0,5,0
1610,0,3,0,0,1
1630,0,0,0,3,0
1660,0,6,0,5,1
1670,0,1,0,1,0
1690,0,3,0,5,3
